Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Observation-level footnotes,COMMENT_OBS,Value
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.86884
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.84419
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,7.06987
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,9.4137
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.50581
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,1.31083
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,12.57856
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,19.51651
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,16.35713
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,17.36898
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,16.83834
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-2.08077
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,14.75282
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.95992
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.9379
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-6.45671
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,14.15719
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-8.71812
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.41404
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.41428
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,7.09408
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual growth of imports of goods and services (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.44133
1983,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.74456
1984,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-0.34468
1985,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,-3.30638
1986,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,0.39009
1987,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.9619
1988,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.26707
1989,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.36194
1990,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.47414
1991,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.5541
1992,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.41836
1993,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.32629
1994,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.40364
1995,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,11.52324
1996,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,9.07211
1997,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.1
1998,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.90527
1999,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.05395
2000,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.14191
2001,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.18366
2002,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.73269
2003,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.47326
2004,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.80723
2005,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.33257
2006,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,10.78474
2007,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.41243
2008,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,8.70875
2009,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.80152
2010,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.63761
2011,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,9.39166
2012,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.83746
2013,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.58691
2014,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.10631
2015,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,5.18786
2016,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,4.781
2017,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,3.13141
2018,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.30392
2019,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,6.43875
2020,"World Bank national accounts data, and OECD National Accounts data files.",Annual GDP growth (%) [17.13.1],Percent,"World Bank national accounts data, and OECD National Accounts data files.",,,2.95131
1960,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0954
1961,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0954
1962,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0954
1963,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0954
1964,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0954
1965,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0714
1966,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0714
1967,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0714
1968,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0714
1969,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0714
1970,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0714
1971,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0714
1972,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0714
1973,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0714
1974,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.0701
1975,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.09
1976,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.1
1977,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.17
1978,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.23
1979,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,0.4
1980,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1.0
1981,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,2.0
1982,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,2.0
1983,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,3.0
1984,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,2.3207
1985,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,5.0791
1986,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,10.8542
1987,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,19.8413
1988,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,60.0
1989,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,169.6066
1990,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,319.6142
1991,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,550.9176
1992,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,960.8163
1993,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1201.8198
1994,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1102.7056
1995,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,932.5269
1996,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1012.822
1997,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1058.083
1998,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1149.6525
1999,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1362.1095
2000,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1512.0207
2001,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1762.9242
2002,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1754.561
2003,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1883.4138
2004,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1934.9142
2005,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1737.2271
2006,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1825.0198
2007,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1779.9999
2008,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1696.4516
2009,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,1929.9406
2010,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,2028.8811
2011,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,2323.4867
2012,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,2557.1451
2013,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,2591.1158
2014,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,2538.0295
2015,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,2827.7268
2016,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,3442.9724
2017,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,3529.6763
2018,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,3659.1455
2019,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,3736.3038
2020,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",,,3715.0978
1960,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,52.00843
1961,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,52.09229
1962,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,51.0008
1963,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,56.18546
1964,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,58.2287
1965,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,41.47483
1966,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,41.37095
1967,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,39.06383
1968,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,36.71174
1969,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,34.9002
1970,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,36.02934
1971,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,35.97155
1972,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,29.8338
1973,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,26.66634
1974,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,25.14115
1975,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,19.66472
1976,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,21.90169
1977,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,28.23117
1978,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,24.87335
1979,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,29.54617
1980,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,51.26104
1981,"World Trade Organization, and World Bank GDP estimates.",Merchandise trade as a proportion of GDP (%) [17.13.1],Percent,"World Trade Organization, and World Bank GDP estimates.",,,43.96919
